,Address,Balance Mainnet,Balance Fork,Difference
290,0xc5b780b35af30a2b9050e42a6630a9543ea2b4f9,22924585072279622,22778583554155622,146001518124000
291,0x1d82c9df486c3a2e6201335cd68152fa381e46f8,98436759617834802,94486951115402807,3949808502431995
292,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,9970000000000000,9970000000000000,0
293,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,0,0,0
294,0x6df3c3acef0f7878adcc435a57fa28361881f57f,1153728800010112,23153728800010112,22000000000000000
295,0xa20c07f94a127fd76e61fbea1019cce759225002,210520996009946157,208732385862041157,1788610147905000
296,0xc1946d7e46c44e1d7f278ddb60ca119670344622,0,0,0
297,0x09e0781a47e9fd2b6258be09bd074f42022b9760,10710225773546287380,10673890014904988959,36335758641298421
298,0x2c638d7c03dd57351cc1b9c08d2b6fe8e9de64ce,18571848945053306113,18551526235101910408,20322709951395705
299,0xb20b86c4e6deeb432a22d773a221898bbbd03036,7404028459047834712,7387855777864062922,16172681183771790
300,0x7c8693c6134a4f56e9e3357bdf60f6a9e16a46be,63145291589565767,61375411018251571,1769880571314196
301,0x013db34ac9e534e4d653b78a5b27245fbd8e0289,825870226784834327,883859513745792759,57989286960958432
302,0xd16cf6cc98e62786fb5a72b96d41fd1798241772,3683601167908000,1227847861167908000,1224164260000000000
303,0x5f3b5dfeb7b28cdbd7faba78963ee202a494e2a2,0,0,0
304,0xa69232b5104d8acf985ef84c10302162b658ae88,509741911976902,124854381911976902,124344640000000000
305,0x3443006ed920730005d88267c49f77abcde749af,25654818631268753674,25322414900856746217,332403730412007457
306,0x76576bf90f9c43891b46dbe49d6a416aefc204ad,361544260031646176,332493863734161758,29050396297484418
307,0x142465967d1d29df61b2c53b421a31fbf7091da2,17906334223538192,14741570117350968,3164764106187224
308,0xbafe01ff935c7305907c33bf824352ee5979b526,0,0,0
309,0xbf1cd064879d2e4bed711e50db2f5b7233860e03,2642741421192977,32642741421192977,30000000000000000
310,0x871baed4088b863fd6407159f3672d70cd34837d,0,0,0
311,0xebeaf855f68b025a12a15a2583893f1030312dab,112634095173323394,108436153446927354,4197941726396040
312,0x0000006da87a99a58e9652937e987df1f74fe148,10904774376193914140,10605203401598719927,299570974595194213
313,0x328d609d2b9ecefd8a6c01feaa19fa98b8963106,9997245318000000000,9932203049888370310,65042268111629690
314,0x44dba859109f7cfb4e74f4bf8eac44fbd3317f17,2619266130000000000,10748378130000000000,8129112000000000000
315,0x9592734756f3c820293d8e55e8feff4e794eec6a,0,18900000000000000,18900000000000000
316,0xf55e65e4fabcccfe7ee1fcdb01e89993d32f5b17,405622309567619129,402212611235604757,3409698332014372
317,0x7577f68a88af61704b5f5f6cc57e4b714facac4c,0,120000000000000000,120000000000000000
